fc_destination_code,proxy,uvac_destination,number_of_nights,offset
AMS,US,AMS,3,7
AMS,US,AMS,3,10
AMS,US,AMS,3,13
AMS,US,AMS,3,16
AMS,US,AMS,3,19
AMS,US,AMS,3,22
AMS,US,AMS,3,25
AMS,US,AMS,3,28
AMS,US,AMS,3,31
AMS,US,AMS,3,34
AMS,US,AMS,3,37
AMS,US,AMS,3,40
AMS,US,AMS,3,43
AMS,US,AMS,3,46
AMS,US,AMS,3,49
AMS,US,AMS,3,52
AMS,US,AMS,3,55
AMS,US,AMS,3,58
AMS,US,AMS,3,61
AMS,US,AMS,3,64
AMS,US,AMS,3,67
AMS,US,AMS,3,70
AMS,US,AMS,3,73
AMS,US,AMS,3,76
AMS,US,AMS,3,79
AMS,US,AMS,3,82
AMS,US,AMS,3,85
AMS,US,AMS,3,88
AMS,US,AMS,3,91
AMS,US,AMS,3,94
AMS,US,AMS,3,97
AMS,US,AMS,3,100
AMS,US,AMS,3,103
AMS,US,AMS,3,106
AMS,US,AMS,3,109
AMS,US,AMS,3,112
AMS,US,AMS,3,115
AMS,US,AMS,3,118
AMS,US,AMS,3,121
AMS,US,AMS,3,124
AMS,US,AMS,3,127
AMS,US,AMS,3,130
AMS,US,AMS,3,133
AMS,US,AMS,3,136
AMS,US,AMS,3,139
AMS,US,AMS,3,142
AMS,US,AMS,3,145
AMS,US,AMS,3,148
AMS,US,AMS,3,151
AMS,US,AMS,3,154
AMS,US,AMS,3,157
AMS,US,AMS,3,160
AMS,US,AMS,3,163
AMS,US,AMS,3,175
AMS,US,AMS,3,187
AMS,US,AMS,3,199
AMS,US,AMS,3,230
AMS,US,AMS,3,236
AMS,US,AMS,3,242
AMS,US,AMS,3,248
AMS,US,AMS,3,254
AMS,US,AMS,3,285
AMS,US,AMS,3,316
AMS,US,AMS,3,347
AMS,US,AMS,3,378
ANU,US,ANU,6,7
ANU,US,ANU,6,13
ANU,US,ANU,6,19
ANU,US,ANU,6,25
ANU,US,ANU,6,31
ANU,US,ANU,6,37
ANU,US,ANU,6,43
ANU,US,ANU,6,49
ANU,US,ANU,6,55
ANU,US,ANU,6,61
ANU,US,ANU,6,67
ANU,US,ANU,6,73
ANU,US,ANU,6,79
ANU,US,ANU,6,85
ANU,US,ANU,6,91
ANU,US,ANU,6,97
ANU,US,ANU,6,103
ANU,US,ANU,6,109
ANU,US,ANU,6,115
ANU,US,ANU,6,121
ANU,US,ANU,6,127
ANU,US,ANU,6,133
ANU,US,ANU,6,139
ANU,US,ANU,6,145
ANU,US,ANU,6,151
ANU,US,ANU,6,157
ANU,US,ANU,6,163
ANU,US,ANU,6,169
ANU,US,ANU,6,175
ANU,US,ANU,6,181
ANU,US,ANU,6,187
ANU,US,ANU,6,193
ANU,US,ANU,6,199
ANU,US,ANU,6,205
ANU,US,ANU,6,211
ANU,US,ANU,6,217
ANU,US,ANU,6,223
ANU,US,ANU,6,229
ANU,US,ANU,6,235
ANU,US,ANU,6,241
ANU,US,ANU,6,247
ANU,US,ANU,6,253
ANU,US,ANU,6,259
ANU,US,ANU,6,265
ANU,US,ANU,6,271
ANU,US,ANU,6,277
ANU,US,ANU,6,283
ANU,US,ANU,6,289
ANU,US,ANU,6,295
ANU,US,ANU,6,301
ANU,US,ANU,6,307
ANU,US,ANU,6,313
ANU,US,ANU,6,319
ANU,US,ANU,6,325
ANU,US,ANU,6,331
ANU,US,ANU,6,337
ANU,US,ANU,6,343
ANU,US,ANU,6,349
ANU,US,ANU,6,355
ANU,US,ANU,6,361
ANU,US,ANU,6,367
ANU,US,ANU,6,373
AUA,US,AUA,6,7
AUA,US,AUA,6,13
AUA,US,AUA,6,19
